,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
10,FF,2024-05-12,94.0,-3.09,6.01,"Henderson, Gunnar",683002,668678,,foul,,,,,7,Gunnar Henderson called out on strikes.,R,L,R,BAL,AZ,S,,,0,0,2024,-0.73,1.5,-0.46,2.26,,,,0,1,Bot,,,,,571466,,,8.47626066267013,-136.5142977869119,-7.338592831929089,-11.005241812770256,30.499891862865223,-11.883659965518742,3.69,1.74,219.0,78.1,54.0,94.4,2321,6.6,747042,668678,571466,572233,606466,553993,621028,666971,682998,664983,53.86,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206,0.0,-0.035,75.28027864003359,7.66495
11,CH,2024-05-11,80.6,-1.91,5.74,"Henderson, Gunnar",683002,669194,home_run,hit_into_play,,,,,8,Gunnar Henderson homers (12) on a fly ball to right center field.,R,L,R,BAL,AZ,X,,fly_ball,1,1,2024,-1.36,0.92,0.22,2.03,,,,0,5,Bot,170.69,38.96,,,672515,,,7.377865435226194,-117.1154351695296,-3.3302543705042185,-13.932321076913157,22.05370394545403,-23.26456617057006,3.69,1.72,411.0,106.9,35.0,81.4,1864,6.9,747041,669194,672515,572233,677942,553993,621028,666971,682998,545341,53.62,0.829,1.618,2.0,1.0,0.0,3.0,6.0,41,3,Changeup,2,4,2,4,4,3,3,4,Standard,Standard,250,0.13,1.013,78.13393362737813,7.54717
12,FC,2024-05-11,90.2,-1.55,6.07,"Henderson, Gunnar",683002,669194,,foul,,,,,2,Gunnar Henderson homers (12) on a fly ball to right center field.,R,L,R,BAL,AZ,S,,,1,0,2024,-0.23,0.9,0.05,3.59,,,,0,5,Bot,,,,,672515,,,4.500714880609814,-131.35013411357886,-2.147941307778508,-3.590636550309608,27.216654675563,-21.5381394877836,3.69,1.72,238.0,82.2,49.0,91.0,2199,6.7,747041,669194,672515,572233,677942,553993,621028,666971,682998,545341,53.84,,,,,,,,41,2,Cutter,2,4,2,4,4,2,2,4,Standard,Standard,183,0.0,-0.05,72.84034227143408,5.63728
13,CU,2024-05-11,75.4,-1.65,6.12,"Henderson, Gunnar",683002,669194,,ball,,,,,11,Gunnar Henderson homers (12) on a fly ball to right center field.,R,L,R,BAL,AZ,B,,,0,0,2024,0.74,-0.9,-1.71,3.75,,,,0,5,Bot,,,,,672515,,,-1.463972371826885,-109.74690863289888,3.842841489196642,6.252036366539487,19.78568263696585,-40.37701321459848,3.76,1.8,,,,75.7,2466,6.6,747041,669194,672515,572233,677942,553993,621028,666971,682998,545341,53.93,,,,,,,,41,1,Curveball,2,4,2,4,4,2,2,4,Infield shade,Standard,50,0.0,0.037,,
14,CH,2024-05-11,82.6,-1.97,5.87,"Henderson, Gunnar",683002,669194,single,hit_into_play,,,,,5,Gunnar Henderson singles on a sharp line drive to right fielder Randal Grichuk.   Jorge Mateo to 2nd.,R,L,R,BAL,AZ,X,9.0,line_drive,2,0,2024,-1.49,0.77,-0.16,2.56,,,622761.0,0,3,Bot,184.52,104.2,,,672515,,,7.0714615946307084,-119.95063077641863,-2.3769993936436453,-15.796262001047245,27.854443530414358,-24.58812480998789,3.69,1.72,159.0,102.4,10.0,82.5,1968,6.8,747041,669194,672515,572233,677942,553993,621028,666971,682998,545341,53.73,0.8,0.78,0.9,1.0,1.0,0.0,4.0,21,3,Changeup,1,2,1,2,2,1,1,2,Infield shade,Standard,243,0.066,0.546,82.24175106488109,7.51512
15,FF,2024-05-11,94.3,-1.51,6.11,"Henderson, Gunnar",683002,669194,,ball,,,,,1,Gunnar Henderson singles on a sharp line drive to right fielder Randal Grichuk.   Jorge Mateo to 2nd.,R,L,R,BAL,AZ,B,,,1,0,2024,-0.71,1.8,-0.56,3.63,,,622761.0,0,3,Bot,,,,,672515,,,4.059714222478238,-137.16145220001383,-4.682983570744918,-9.86652005254704,35.78873020458615,-8.780147102624916,3.73,1.84,,,,94.3,2373,6.7,747041,669194,672515,572233,677942,553993,621028,666971,682998,545341,53.77,,,,,,,,21,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,201,0.0,0.097,,
16,CH,2024-05-11,80.6,-1.98,5.9,"Henderson, Gunnar",683002,669194,,ball,,,,,11,Gunnar Henderson singles on a sharp line drive to right fielder Randal Grichuk.   Jorge Mateo to 2nd.,R,L,R,BAL,AZ,B,,,0,0,2024,-1.59,0.86,-2.46,2.88,,,622761.0,0,3,Bot,,,,,672515,,,1.9685428038504036,-117.1959759676518,-1.5291467066160147,-14.825183284292311,27.530619337798164,-24.30545531036004,3.72,1.73,,,,80.2,1881,6.6,747041,669194,672515,572233,677942,553993,621028,666971,682998,545341,53.89,,,,,,,,21,1,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,245,0.0,0.084,,
17,SI,2024-05-11,89.0,3.4,5.24,"Henderson, Gunnar",683002,573009,field_out,hit_into_play,,,,,14,"Gunnar Henderson grounds out softly, pitcher Joe Mantiply to first baseman Christian Walker.",R,L,L,BAL,AZ,X,1.0,ground_ball,1,0,2024,1.53,0.06,1.52,2.67,,,,1,7,Bot,134.79,192.66,,,672515,,,-7.772194620254163,-129.46836178912258,-0.4374952002885131,18.744750881946825,24.35125715350118,-31.65833730280961,3.69,1.72,2.0,49.3,-58.0,89.0,2161,6.1,747041,573009,672515,572233,677942,553993,621028,666971,682998,545341,54.39,0.246,0.262,0.0,1.0,0.0,0.0,1.0,56,2,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,108,-0.035,-0.184,72.71669068211662,5.9826
18,SI,2024-05-11,89.8,3.55,5.33,"Henderson, Gunnar",683002,573009,,ball,,,,,12,"Gunnar Henderson grounds out softly, pitcher Joe Mantiply to first baseman Christian Walker.",R,L,L,BAL,AZ,B,,,0,0,2024,1.5,0.28,2.26,3.35,,,,1,7,Bot,,,,,672515,,,-6.347643107736242,-130.75292720636824,0.4170666370137809,18.571287158031204,25.678111058569208,-29.198078510618743,3.76,1.8,,,,89.8,2194,6.1,747041,573009,672515,572233,677942,553993,621028,666971,682998,545341,54.4,,,,,,,,56,1,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,113,0.0,0.025,,
19,CH,2024-05-11,84.2,-1.96,5.77,"Henderson, Gunnar",683002,669194,field_out,hit_into_play,,,,,8,Gunnar Henderson flies out to left fielder Lourdes Gurriel Jr.,R,L,R,BAL,AZ,X,7.0,fly_ball,1,1,2024,-1.27,0.72,-0.24,1.82,,,,0,1,Bot,69.15,111.08,,,672515,,,6.549967076471836,-122.44077335574175,-4.207412942046279,-14.06334066926096,25.102339677080423,-24.31147389335392,3.69,1.72,260.0,84.2,47.0,84.6,2061,6.7,747041,669194,672515,572233,677942,553993,621028,666971,682998,545341,53.83,0.017,0.021,0.0,1.0,0.0,0.0,3.0,4,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,245,-0.021,-0.218,85.89630311398115,7.83251
20,FF,2024-05-11,93.2,-1.8,5.98,"Henderson, Gunnar",683002,669194,,called_strike,,,,,7,Gunnar Henderson flies out to left fielder Lourdes Gurriel Jr.,R,L,R,BAL,AZ,S,,,1,0,2024,-0.59,1.52,-0.47,1.92,,,,0,1,Bot,,,,,672515,,,4.724359297666125,-135.4330196870734,-7.996829965987179,-8.283734409049346,30.49265220776374,-11.904688551907192,3.7,1.87,,,,93.4,2239,6.6,747041,669194,672515,572233,677942,553993,621028,666971,682998,545341,53.95,,,,,,,,4,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,209,0.0,-0.05,,
21,FF,2024-05-11,93.0,-1.82,5.98,"Henderson, Gunnar",683002,669194,,ball,,,,,11,Gunnar Henderson flies out to left fielder Lourdes Gurriel Jr.,R,L,R,BAL,AZ,B,,,0,0,2024,-0.52,1.53,-0.7,4.02,,,,0,1,Bot,,,,,672515,,,4.010900818834449,-135.39257865665496,-2.6542560113529614,-7.227399494773481,28.600588294183037,-12.920283532160456,3.75,1.87,,,,93.6,2138,6.6,747041,669194,672515,572233,677942,553993,621028,666971,682998,545341,53.93,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,204,0.0,0.037,,
22,CU,2024-05-10,79.8,-1.91,5.68,"Henderson, Gunnar",683002,694297,walk,ball,,,,,13,Gunnar Henderson walks.,R,L,R,BAL,AZ,B,,,3,2,2024,1.35,-0.85,-1.32,2.39,,,,2,5,Bot,,,,,672515,,,-1.2583411187726643,-116.1453809317114,1.20791452274488,12.314035318092616,25.656076216931663,-40.27250692734413,3.55,1.68,,,,79.5,2640,6.5,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,54.01,,0.696232,0.7,1.0,0.0,0.0,,38,6,Curveball,2,1,2,1,1,2,2,1,Standard,Standard,67,0.012,0.098,,
23,ST,2024-05-10,84.5,-2.01,5.35,"Henderson, Gunnar",683002,694297,,ball,,,,,14,Gunnar Henderson walks.,R,L,R,BAL,AZ,B,,,2,2,2024,0.67,0.77,0.51,1.3,,,,2,5,Bot,,,,,672515,,,4.5737472891159525,-122.86225156034352,-4.58309280942097,5.725682274877333,26.65975643898555,-23.617442145013747,3.69,1.8,,,,84.7,2816,6.7,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,53.83,,,,,,,,38,5,Sweeper,2,1,2,1,1,2,2,1,Standard,Standard,84,0.0,0.04,,
24,ST,2024-05-10,86.5,-2.18,5.42,"Henderson, Gunnar",683002,694297,,ball,,,,,13,Gunnar Henderson walks.,R,L,R,BAL,AZ,B,,,1,2,2024,0.48,0.47,-1.18,0.92,,,,2,5,Bot,,,,,672515,,,1.413677882016758,-125.89066494742691,-5.461380683357001,4.804797018408258,27.381931477070463,-26.211076865548005,3.55,1.68,,,,86.8,2777,6.6,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,53.9,,,,,,,,38,4,Sweeper,2,1,2,1,1,2,2,1,Standard,Standard,118,0.0,0.013,,
25,FF,2024-05-10,93.3,-1.99,5.49,"Henderson, Gunnar",683002,694297,,called_strike,,,,,9,Gunnar Henderson walks.,R,L,R,BAL,AZ,S,,,1,1,2024,-0.39,1.39,0.75,2.24,,,,2,5,Bot,,,,,672515,,,7.98362975971648,-135.64575147814767,-5.718319589344285,-6.492956224939394,29.3653154173994,-13.958716987378637,3.72,1.79,,,,94.3,2587,6.9,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,53.61,,,,,,,,38,3,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,226,0.0,-0.022,,
26,CU,2024-05-10,80.1,-1.85,5.71,"Henderson, Gunnar",683002,694297,,swinging_strike,,,,,8,Gunnar Henderson walks.,R,L,R,BAL,AZ,S,,,1,0,2024,1.19,-0.51,0.13,1.87,,,,2,5,Bot,,,,,672515,,,2.1368639006447743,-116.63665034049164,-0.8149960088433912,10.46481296329842,21.80234193098075,-36.891201687125886,3.69,1.72,,,,80.4,2596,6.5,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,54.04,,,,,,,,38,2,Curveball,2,1,2,1,1,2,2,1,Standard,Standard,62,0.0,-0.018,74.25962574247336,8.32236
27,CH,2024-05-10,89.2,-1.94,5.49,"Henderson, Gunnar",683002,694297,,ball,,,,,13,Gunnar Henderson walks.,R,L,R,BAL,AZ,B,,,0,0,2024,-1.15,0.02,-0.48,0.76,,,,2,5,Bot,,,,,672515,,,6.06064419056733,-129.79222583016173,-5.728249685462224,-14.26523430152763,26.554082292739302,-30.908407904540145,3.69,1.73,,,,89.9,1942,6.7,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,53.83,,,,,,,,38,1,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,231,0.0,0.013,,
28,CH,2024-05-10,88.1,-2.14,5.26,"Henderson, Gunnar",683002,694297,field_out,hit_into_play,,,,,13,"Gunnar Henderson grounds out, second baseman Blaze Alexander to first baseman Christian Walker.",R,L,R,BAL,AZ,X,4.0,ground_ball,1,2,2024,-1.05,0.4,-0.43,1.54,,,,0,3,Bot,145.17,152.42,,,672515,,,6.378768488442449,-128.08543137072607,-3.746211457512657,-12.952058001078967,27.71906924082576,-27.157654897418716,3.69,1.72,44.0,84.4,1.0,88.5,1992,6.7,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,53.82,0.211,0.223,0.0,1.0,0.0,0.0,2.0,22,5,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,235,-0.02,-0.166,78.59445937624999,7.9769
29,ST,2024-05-10,84.8,-1.94,5.46,"Henderson, Gunnar",683002,694297,,foul,,,,,9,"Gunnar Henderson grounds out, second baseman Blaze Alexander to first baseman Christian Walker.",R,L,R,BAL,AZ,S,,,1,2,2024,1.35,0.71,0.75,1.91,,,,0,3,Bot,,,,,672515,,,3.6220001142495937,-123.52711620767798,-3.4055401934397684,13.089214296646194,24.787120301211537,-24.4001860422922,3.69,1.72,157.0,106.5,7.0,85.5,2828,6.7,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,53.8,,,,,,,,22,4,Sweeper,2,1,2,1,1,2,2,1,Standard,Standard,75,0.0,0.0,79.34461573457837,8.40307
30,CH,2024-05-10,89.6,-1.91,5.37,"Henderson, Gunnar",683002,694297,,foul,,,,,7,"Gunnar Henderson grounds out, second baseman Blaze Alexander to first baseman Christian Walker.",R,L,R,BAL,AZ,S,,,1,1,2024,-1.06,0.14,-0.51,1.7,,,,0,3,Bot,,,,,672515,,,5.737371773676462,-130.4160315489816,-3.4031869684860694,-13.301915810091677,26.818986796527582,-30.10943381189197,3.69,1.72,1.0,50.9,-51.0,90.5,2060,6.8,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,53.73,,,,,,,,22,3,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,234,0.0,-0.052,71.51171001152623,7.77528
31,CU,2024-05-10,81.9,-1.81,5.7,"Henderson, Gunnar",683002,694297,,foul,,,,,9,"Gunnar Henderson grounds out, second baseman Blaze Alexander to first baseman Christian Walker.",R,L,R,BAL,AZ,S,,,1,0,2024,1.42,-0.71,0.34,1.62,,,,0,3,Bot,,,,,672515,,,2.134032053814146,-119.34539741899664,-1.3393922417833133,13.21268024985516,21.70977368017509,-38.98357190833137,3.69,1.72,5.0,86.8,-22.0,82.6,2668,6.5,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,53.96,,,,,,,,22,2,Curveball,2,1,2,1,1,2,2,1,Standard,Standard,61,0.0,-0.05,76.72420466527605,8.13516
32,CH,2024-05-10,87.3,-1.97,5.39,"Henderson, Gunnar",683002,694297,,ball,,,,,13,"Gunnar Henderson grounds out, second baseman Blaze Alexander to first baseman Christian Walker.",R,L,R,BAL,AZ,B,,,0,0,2024,-1.08,0.47,-1.16,1.74,,,,0,3,Bot,,,,,672515,,,4.19024155834069,-127.1297964498662,-3.6444642269050527,-12.614374050029168,24.895973503486868,-26.565691783683672,3.49,1.72,,,,88.1,1819,6.6,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,53.85,,,,,,,,22,1,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,231,0.0,0.037,,
33,ST,2024-05-10,81.4,1.91,6.03,"Henderson, Gunnar",683002,663531,double,hit_into_play,,,,,1,Gunnar Henderson doubles (4) on a line drive to center fielder Corbin Carroll.   Jorge Mateo scores.,R,L,L,BAL,AZ,X,8.0,line_drive,1,2,2024,-1.29,0.15,-0.38,3.25,,,622761.0,1,7,Bot,162.94,86.81,,,672515,,,-2.653900561176114,-118.60196918876396,-0.0051248171575062,-11.794120834168798,20.92472975674907,-30.965147518964734,3.69,1.72,296.0,99.6,17.0,81.3,2348,6.0,747043,663531,672515,572233,677942,553993,621028,666971,682998,545341,54.55,0.494,0.543,1.25,1.0,1.0,1.0,4.0,56,4,Sweeper,3,2,3,2,2,4,4,2,Standard,Standard,282,0.107,1.027,82.16645406252559,6.68199
34,SI,2024-05-10,87.6,1.68,6.1,"Henderson, Gunnar",683002,663531,,foul,,,,,6,Gunnar Henderson doubles (4) on a line drive to center fielder Corbin Carroll.   Jorge Mateo scores.,R,L,L,BAL,AZ,S,,,1,1,2024,1.36,1.13,0.65,2.59,,,622761.0,1,7,Bot,,,,,672515,,,-5.226321972040138,-127.44752715430276,-4.639386983271167,15.869116634678347,26.03779589248236,-19.05951921936684,3.69,1.72,7.0,91.4,-20.0,86.8,2036,5.8,747043,663531,672515,572233,677942,553993,621028,666971,682998,545341,54.7,,,,,,,,56,3,Sinker,3,2,3,2,2,3,3,2,Standard,Standard,135,0.0,-0.064,71.85062307083822,7.79191
35,ST,2024-05-10,81.7,1.91,5.93,"Henderson, Gunnar",683002,663531,,ball,,,,,13,Gunnar Henderson doubles (4) on a line drive to center fielder Corbin Carroll.   Jorge Mateo scores.,R,L,L,BAL,AZ,B,,,0,1,2024,-0.48,0.39,-1.2,1.1,,,622761.0,1,7,Bot,,,,,672515,,,-6.040424699194952,-118.88583166182175,-5.086574684344268,-3.512443660881001,21.05631047237413,-27.704896139059343,3.69,1.84,,,,81.5,2551,6.0,747043,663531,672515,572233,677942,553993,621028,666971,682998,545341,54.5,,,,,,,,56,2,Sweeper,3,2,3,2,2,3,3,2,Standard,Standard,275,0.0,0.026,,
36,SI,2024-05-10,90.4,1.64,6.08,"Henderson, Gunnar",683002,663531,,called_strike,,,,,7,Gunnar Henderson doubles (4) on a line drive to center fielder Corbin Carroll.   Jorge Mateo scores.,R,L,L,BAL,AZ,S,,,0,0,2024,1.35,1.02,-0.34,2.1,,,622761.0,1,7,Bot,,,,,672515,,,-7.747070762144069,-131.31648238133445,-6.105669052389649,17.250933641410022,27.01274744151366,-19.29490092767141,3.73,1.89,,,,89.9,2051,6.0,747043,663531,672515,572233,677942,553993,621028,666971,682998,545341,54.49,,,,,,,,56,1,Sinker,3,2,3,2,2,3,3,2,Standard,Standard,133,0.0,-0.045,,
37,FF,2024-05-10,92.1,-1.87,5.45,"Henderson, Gunnar",683002,694297,field_out,hit_into_play,,,,,6,Gunnar Henderson grounds out to first baseman Christian Walker.,R,L,R,BAL,AZ,X,3.0,ground_ball,0,0,2024,-0.22,1.43,0.54,3.06,,,,0,1,Bot,158.37,172.26,,,672515,,,6.599234089213121,-133.98386839793818,-3.3678519473822948,-3.9845338620416046,27.837227802660752,-14.406943137241374,3.69,1.72,76.0,106.1,2.0,92.6,2631,6.5,747043,694297,672515,572233,677942,553993,621028,666971,682998,545341,54.0,0.469,0.436,0.0,1.0,0.0,0.0,4.0,6,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,216,-0.021,-0.231,82.09691469812566,7.10068
